Filename,1x (MB),2x (MB),4x (MB),8x (MB),16x (MB)
1-1~,6.41,9.26,4.67,2.45,1.4
1-2~,91.7,14.47,7.11,3.45,1.51
1-3~,21.28,28.54,14.22,7.11,3.54
1-4~,21.78,33.08,16.53,8.31,4.18
7-1~,14.18,12.38,5.81,2.56,1.04
8-1~,42.14,59.32,29.61,14.8,7.4
8-2~,302.7,59.15,29.21,14.22,6.89
9-1~,30.53,50.08,25.6,12.68,6.26
9-2~,229.66,123.61,89.2,59.99,30.46
